up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,omie_page
CEVD483,C.H. LA ISLA,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,22
CEVD484,BIOMERUELO,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,22
CEVD485,C.H. PAMSA,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,22
CEVD486,FV. BOLARQUE1,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD487,FV. BOLARQUE2,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD488,FV. BOLARQUE3,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD489,FV. ALMOGUERA1,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD490,FV JALÓN I,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD491,FV NAVARROS II,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD492,FV MÁS DE GIL,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD493,FV. NAVARROS I,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD494,FV. MYRTEA1,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD495,FV SOCOVOS 2,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD496,FV. NEOSOL,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD497,FV. PUCELAS,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD498,FV. YESERAS,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD499,P.E. PLASENCIA,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,22
CEVD500,FV. ARCO 8,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
