codigo_de_uf,codigo_eic,descripcion_corta,descripcion_larga,tipo_de_produccion,vinculacion_con_sm,vinculacion_con_up,potencia_maxima_mw
SYEGUAS,18WSYEGUAS-123-R,SYEGUAS,18WSYEGUAS-123-R,Fluyente,EGLE,HSYEGU,"4,9"
SYENC01,18W000000000MDD3,SYENC01,SYENE_UP,Comercializadores mercado libre,SYENE,SYENC01,"1,0"
SYEONUR,18W-SYEONUR-2--T,SYEONUR,"E.ON CUR ( TARIFA, SOLAR TERMI",Solar térmica,EONUR,SYEONUR,"0,0"
SYGNSUR,18W-SYGNSUR-2--F,SYGNSUR,"GN SUR SDG ( TARIFA, SOLAR TER",Solar térmica,GNSUR,SYGNSUR,"0,0"
SYHCCUR,18W-SYHCCUR-2--A,SYHCCUR,"HC CUR ( TARIFA, SOLAR TERMICA",Solar térmica,HCCUR,SYHCCUR,"0,0"
SYIBCUR,18W-SYIBCUR-3--5,SYIBCUR,"IB CUR  ( TARIFA, SOLAR TERMIC",Solar térmica,IBCUR,SYIBCUR,"0,0"
T101150,18W000000000UHXU,T101150,T101150,Solar fotovoltaica,SOLRC,FT10150,"29,6"
TAB1,18WTAB1-12345-AW,TABESCAN 1,TABESCAN 1,Embalse,ENDG,EBRFEN,"31,5"
TAB2,18WTAB2-12345-AM,TABESCAN 2,TABESCAN 2,Embalse,ENDG,EBRFEN,"59,3"
TAB3,18WTAB3-12345-AC,TABESCAN 3,TABESCAN 3,Embalse,ENDG,EBRFEN,"59,3"
TABER1,18W000000000OYPJ,TABER1,SFV TABERNAS,Solar fotovoltaica,GNCO,FGASN2U,"45,0"
TABER2,18W000000000OYQH,TABER2,SFV TABERNAS2,Solar fotovoltaica,GNCO,FGASN2U,"45,0"
TABERNS,18W000000000NKMY,TBRNAS,TABNERSII,Solar fotovoltaica,GESTE,FTABRNS,"41,6"
TABLADO,18WTABLADO-12-E7,TABLADO,P.E. EL TABLADO,Eólica terrestre,IBGES,EHIBGES,"19,8"
TABLARE,18W000000000GI6Q,TABLARES,PE TABLARES,Eólica terrestre,CEG,PETABLA,"11,9"
TABLCET,18W000000000UDMR,TABLCET,TABLERO,Gas natural cogeneración,EGLE,TCETA,"22,9"
TABLERO,18WTABLERO-123-P,TABLERO,INDUSTRIAS DEL TABLERO,Derivados del petróleo o carbón,WMARK,TTABLER,"24,8"
TABLICI,18WTABLICI-123-3,TABLEROS,TABLEROS HISPANOS,Gas natural cogeneración,DETIC,COGTABL,"7,2"
TABLOS,18W000000000UBAK,TABLOS,LOSAN,Biomasa,EGLE,RTABLOS,"4,2"
TACBR,18W000000000R0QX,TACBR,TACBR,Solar fotovoltaica,GNRA,UPTAC,"35,0"
TACICAP,18WTACICADEPLATJ,TACICAP,TACICA DE PLATA,Eólica terrestre,IBGES,EHIBGES,"26,0"
TAEEXXI,18WTAEEXXI-12--8,ATL COOP,ATLANTIC COOPER,Energía residual,EEXXI,TAEEXXI,"11,5"
TAGUS1,18W000000000QIBD,TAGUS1,FV TAGUS I,Solar fotovoltaica,IBGES,FIBGT12,"37,0"
TAGUS2,18W000000000QICB,TAGUS2,FV TAGUS II,Solar fotovoltaica,IBGES,FIBGT12,"37,0"
TAGUS3,18W000000000QID9,TAGUS3,FV TAGUS III,Solar fotovoltaica,IBGES,FIBGT34,"37,0"
TAGUS4,18W000000000QIE7,TAGUS4,FV TAGUS IV,Solar fotovoltaica,IBGES,FIBGT34,"37,0"
TAHIVI,18WTAHIVI-123-E7,TAHIVI,P.E. TAHIVILLA,Eólica terrestre,HC G,HCGSIHA,"30,0"
TAJTN,18W000000000O6YB,TAJTN,TAJTN,Fluyente,GNRA,HFGNRA,"1,7"
TALAR1,18W000000000GERX,TALARR1,FV TALARRUBIAS I,Solar fotovoltaica,NEXU,FTALAR1,"34,3"
TALAR2,18W000000000GESV,TALARR2,FV TALARRUBIAS II,Solar fotovoltaica,NEXU,FTALAR2,"34,3"
TALARN,18WTALARN-1234-H,TALARN,UF TALARN III,Fluyente,EFG,HGEFG,"2,4"
TALARRU,18WTALARRU-123-E,TALARRU,TALARRUBIAS,Solar fotovoltaica,GESTE,FTALARR,"1,9"
