up_code,up_name_final,legal_entity,group_name,group_confidence,ownership_pct,ownership_pct_numeric,owner_count,technology,unit_type_omie,zone_omie,uf_count,uf_codes,uf_names,subject_code,mapping_source,group_source_url
ADXRE10,PUERTOLLANO,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRE11,HORNACHOS98,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRM01,REPRE COMER 1,AUDAX RENOVABLES S.A.,,,100,100.0,1,Compras Comercialización,COMERCIALIZADOR,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRM02,REPRE COMER 2,AUDAX RENOVABLES S.A.,,,100,100.0,1,Compras Comercialización,COMERCIALIZADOR,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRM03,REPRE COMER 3,AUDAX RENOVABLES S.A.,,,100,100.0,1,Compras Comercialización,COMERCIALIZADOR,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRM04,ADS RPRE COMER 4,AUDAX RENOVABLES S.A.,,,100,100.0,1,Compras Comercialización,COMERCIALIZADOR,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRM06,REPRE COMER 6,AUDAX RENOVABLES S.A.,,,100,100.0,1,Compras Comercialización,COMERCIALIZADOR,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRM07,REPRE COMER 07,AUDAX RENOVABLES S.A.,,,100,100.0,1,Compras Comercialización,COMERCIALIZADOR,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRM08,REPRE COMER 8,AUDAX RENOVABLES S.A.,,,100,100.0,1,Compras Comercialización,COMERCIALIZADOR,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRM09,REPRE COMER 9,AUDAX RENOVABLES S.A.,,,100,100.0,1,Compras Comercialización,COMERCIALIZADOR,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRM10,ECO2,AUDAX RENOVABLES S.A.,,,100,100.0,1,Compras Comercialización,COMERCIALIZADOR,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRM11,FEED ENERGÍA,AUDAX RENOVABLES S.A.,,,100,100.0,1,Compras Comercialización,COMERCIALIZADOR,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXVD01,AUDAX RENOVABLES VENTA TR,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Térmica Renovable,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXVD03,PV ALARCOS,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXVD04,EOLICA AUDAX,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Eólica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXVD05,FV GENERIBER,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
