uf_code,uf_name,up_code,subject_code,technology_esios
LAMUEL1,LAMUEL1,EHIBGES,IBGES,Eólica terrestre
LAMUELA,LAMUELA,HYLAMUE,DETIC,Hidráulica - No UGH
LAMUN,LAMUN,EGASNE0,GNCO,Eólica terrestre
LAMURTA,LAMURTA,HCHI2,HC G,Fluyente
LAN1,LANCARA 1,LANCAR,CHDUE,Embalse
LAN2,LANCARA 2,LANCA2,CHDUE,Embalse
LANAVA,LANAVA,FSONAV,EGLE,Solar fotovoltaica
LANAVAE,NAVA,HCGSCSA,HC G,Eólica terrestre
LANCES,LANCES,EREGPEM,ECYR,Eólica terrestre
LANCHAL,LANCHAL,EEGPEM,ECYR,Eólica terrestre
LANDC01,LANDS,LANDC01,LAND,Consumos directos en mercado
LANDRO,LANDRO,HSOLUE,EGLE,Fluyente
LANTER,LANTER,RWESZN,HISPE,Eólica terrestre
LAOBC01,LAOBC01,LAOBC01,LABOA,Comercializadores mercado libre
LAOFW,LAOFW,FVGNRA,GNRA,Solar fotovoltaica
LAPAC01,GALAP ENER,LAPAC01,GALAP,Comercializadores mercado libre
LAPBLA,LA POBLA,HPOBLA,NEXU,Fluyente
LAPENA,LA PENA,HCGSIHA,HC G,Eólica terrestre
LAPENA1,LAPENA1,FLPENA1,NEXU,Solar fotovoltaica
LAPENA2,LAPENA2,FLPENA2,NEXU,Solar fotovoltaica
LARFW,LARFW,FVGNRA,GNRA,Solar fotovoltaica
LARISA,LARISA,HCGSIHA,HC G,Eólica terrestre
LAROUCO,LAROUCO,EHIBGES,IBGES,Eólica terrestre
LARRAL,LARRAL,FLARRAL,NEXU,Solar fotovoltaica
LARRIH,LARRIH,EMCIBGE,IBGES,Eólica terrestre
LARUYA,LARUYA,EERUYA,EGLE,Eólica terrestre
LAS1,LASPUÑA 1,EBRACC1,ENDG,Embalse
LAS2,LASPUÑA 2,EBRACC1,ENDG,Embalse
LASARDA,LASARDA,HCGSIHA,HC G,Eólica terrestre
LASBRIS,LASBRIS,FBRISAS,NEXU,Solar fotovoltaica
LASE,LASE,FVGNRA,GNRA,Solar fotovoltaica
LASLANA,LASLANA,FLSOLAN,NEXU,Solar fotovoltaica
LASMAJA,LASMAJA,ELASMAJ,WMARK,Eólica terrestre
LASMINA,LASMINA,HCMINE,EGLE,Fluyente
LASORDA,LASORDA,EMTORR,EGLE,Eólica terrestre
LASOTON,LASOTON,HRIEAG,EGLE,Hidráulica - No UGH
LASP,PORTAS,SIL,IBEG,Fluyente
LASSJ,LASSJ,UPLAS,GNRA,Solar fotovoltaica
LASTR2,LSTRS,FLASTR2,GESTE,Solar fotovoltaica
LASTRA,LASTRA,ELBOGA,EGLE,Eólica terrestre
LASVAG,LASVAG,FLASVAG,HISPE,Solar fotovoltaica
LASVIN,LASVIN,EHIBGES,IBGES,Eólica terrestre
LATINF,UF LATIN,TLATINF,GEMSL,Derivados del petróleo o carbón
LATORRE,LATORRE,EGREEN,EGED,Eólica terrestre
LAUCCX1,PORGENC,LAUCCX1,LAUEI,Porfolio
LAUCVX1,PORGENV,LAUCVX1,LAUEI,Porfolio
LAUEC01,LAUEC01 CO,LAUEC01,LAUEI,Comercializadores mercado libre
