codigo_de_up,descripcion_corta,descripcion_larga,codigo_eic,tipo_de_produccion,negocio,ambito_de_actuacion,zona_de_regulacion,tipo_de_up,sujeto_del_mercado,potencia_maxima_mw
UPCASTA,UP CASTAÑO,UP CASTAÑO SOLAR,18W000000000SNID,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"112,8"
UPCENS,UPCENS,UPCENS,18W000000000TGYZ,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"4,9"
UPCERN,CERNEG,UP  CERNEGULA,18W000000000SKZP,Eólica terrestre,Venta,España,IGS ,Generación,IGNIS,"45,0"
UPCERR,FV EL CERR,FV EL CERRO,18W000000000SI8B,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"40,3"
UPCHAM,UPCHAMORRO,UP CHAMORRO,18W000000000SZ37,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"8,0"
UPCHAP,UPCHAP,UPCHAP,18W000000000V0TB,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"36,3"
UPCHBO,UPCHAMBO,UP FV CHAMBO RENOVABLES,18W000000000VFGT,Solar fotovoltaica,Venta,España,SZR,Generación,IGNIS,"32,3"
UPCIERZ,UPCIERZO,UP CIERZO AMARENCO,18W000000000S0I8,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"20,0"
UPCIMER,CIMERA SOL,CIMERA SOLAR SLU,18W000000000SE8N,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"40,0"
UPCOLI,UPCOLI,UPCOLI,18W000000000UCOQ,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"20,4"
UPCONVA,UP CONVA,COGENERACIN CONVA,18W000000000QGAL,Gas Natural Cogeneración,Venta,España,SZR,Generación,IGNIS,"5,1"
UPCORAC,CORACHA SO,CORACHA SOLAR SLU,18W000000000SE5T,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"40,0"
UPCOV1,UPCOV1,UPCOV1,18W000000000SJLJ,Solar fotovoltaica,Venta,España,GN3 ,Generación,GNRA,"41,7"
UPCOV2,UPCOVA2,UP COVATILLAS 2,18W000000000SOXH,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,7"
UPCOV3,UPCOVA3,UP COVATILLAS 3,18W000000000SOZD,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,7"
UPCOV4,UPCOVA4,UP COVATILLAS 4,18W000000000SP22,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,7"
UPCOV5,UPCOV5,UPCOV5,18W000000000SIYX,Solar fotovoltaica,Venta,España,GN3 ,Generación,GNRA,"41,7"
UPCOV6,UPCOV6,UPCOV6,18W000000000SIW0,Solar fotovoltaica,Venta,España,GN3 ,Generación,GNRA,"41,7"
UPCRVI,UPCRVI,UPCRVI,18W000000000UXRV,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"6,0"
UPCTE,UPCTE,UPCTE,18W000000000UXST,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"1,0"
UPCUCO,UF EL CUCO,UF PLANTA FOTOVOLTAICA EL CUCO,18W000000000RYS1,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"32,0"
UPCUE,UPCUE,UPCUE,18W000000000SINI,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"10,0"
UPDAR,UPDAR,UPDAR,18W000000000UXTR,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"3,6"
UPDEHE,UP DEHESA,UP DEHESA,18W000000000UT79,Solar térmica,Venta,España,SZR,Generación,IGNIS,"49,9"
UPDEMF,UPDEMF,UPDEMF,18W000000000UQ8G,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"1,4"
UPDOH,UPDOH,UPDOH,18W000000000RPCN,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"25,0"
